QTLs	line	QTL	ct	location	year
QTLs-0	29	0	51.01666667	Arusha	2016
QTLs-0	32	0	45.45833333	Arusha	2016
QTLs-0	41	0	42.475	Arusha	2016
QTLs-0	43	0	55.775	Arusha	2016
QTLs-0	44	0	43.10833333	Arusha	2016
QTLs-0	45	0	50.13333333	Arusha	2016
QTLs-0	47	0	44.68333333	Arusha	2016
QTLs-0	50	0	56.36666667	Arusha	2016
QTLs-0	67	0	43.23333333	Arusha	2016
QTLs-0	87	0	48.95833333	Arusha	2016
QTLs-0	29	0	NA	Morogoro	2016
QTLs-0	32	0	NA	Morogoro	2016
QTLs-0	41	0	NA	Morogoro	2016
QTLs-0	43	0	NA	Morogoro	2016
QTLs-0	44	0	59.93333333	Morogoro	2016
QTLs-0	45	0	86.86666667	Morogoro	2016
QTLs-0	47	0	NA	Morogoro	2016
QTLs-0	50	0	NA	Morogoro	2016
QTLs-0	67	0	97.65	Morogoro	2016
QTLs-0	87	0	NA	Morogoro	2016
QTLs-0	29	0	38.85	Arusha	2017
QTLs-0	32	0	39.635	Arusha	2017
QTLs-0	41	0	37.405	Arusha	2017
QTLs-0	43	0	32.92	Arusha	2017
QTLs-0	44	0	39.05	Arusha	2017
QTLs-0	45	0	36.775	Arusha	2017
QTLs-0	47	0	37.465	Arusha	2017
QTLs-0	50	0	37.235	Arusha	2017
QTLs-0	67	0	37.97	Arusha	2017
QTLs-0	87	0	37.075	Arusha	2017
QTLs-0	29	0	NA	Morogoro	2017
QTLs-0	32	0	59.125	Morogoro	2017
QTLs-0	41	0	57.165	Morogoro	2017
QTLs-0	43	0	59.58	Morogoro	2017
QTLs-0	44	0	66.235	Morogoro	2017
QTLs-0	45	0	65.96	Morogoro	2017
QTLs-0	47	0	NA	Morogoro	2017
QTLs-0	50	0	NA	Morogoro	2017
QTLs-0	67	0	55.19	Morogoro	2017
QTLs-0	87	0	58.54	Morogoro	2017
QTLs-1	4	QTL6.1	46.15833333	Arusha	2016
QTLs-1	8	QTL6.1	NA	Arusha	2016
QTLs-1	9	QTL3.1	48.45	Arusha	2016
QTLs-1	11	QTL3.1	47.93333333	Arusha	2016
QTLs-1	13	QTL11.2	38.075	Arusha	2016
QTLs-1	16	QTL11.2	NA	Arusha	2016
QTLs-1	23	QTL6.1	55.925	Arusha	2016
QTLs-1	26	QTL6.1	NA	Arusha	2016
QTLs-1	27	QTL3.1	44.36666667	Arusha	2016
QTLs-1	34	QTL3.1	36.01666667	Arusha	2016
QTLs-1	40	QTL3.1	43.00833333	Arusha	2016
QTLs-1	46	QTL3.1	40.34166667	Arusha	2016
QTLs-1	48	QTL6.1	38.975	Arusha	2016
QTLs-1	49	QTL3.1	44.26666667	Arusha	2016
QTLs-1	54	QTL11.2	47.78333333	Arusha	2016
QTLs-1	59	QTL3.1	51.475	Arusha	2016
QTLs-1	70	QTL6.1	NA	Arusha	2016
QTLs-1	72	QTL3.1	37.86666667	Arusha	2016
QTLs-1	74	QTL6.1	54.30833333	Arusha	2016
QTLs-1	78	QTL11.2	38.74166667	Arusha	2016
QTLs-1	83	QTL6.1	62.11666667	Arusha	2016
