Year,Line,Location,Rep,SW,CT,WU,SCP,Pro
2017,2,Arusha,1,52.18661448,31.65,102.7976495,8.814144479,24.125
2017,2,Arusha,2,44.95995504,26.97,105.2268683,8.438987499,21.75
2017,3,Arusha,1,45.33762133,34.13,101.6057289,9.494241894,22
2017,3,Arusha,2,44.11262255,35.80,103.4714141,9.738493143,21.3125
2017,4,Arusha,1,50.41961625,30.78,95.74372434,8.265621778,23.1875
2017,4,Arusha,2,52.37761429,26.39,95.03223384,8.305810398,24.25
2017,5,Arusha,1,58.67327466,32.27,107.8570617,8.433840238,28.8125
2017,5,Arusha,2,48.46061821,29.45,110.1222985,8.862478778,23.5625
2017,6,Arusha,1,55.57127776,39.77,66.79463032,8.959311424,24.25
2017,6,Arusha,2,55.01661165,29.60,91.74795517,8.903821924,22.5625
2017,7,Arusha,1,47.27895272,32.97,87.64497275,9.224055776,22.5
2017,7,Arusha,2,53.26128007,35.77,99.02493366,8.375950836,23.0625
2017,8,Arusha,1,57.61094239,30.05,103.6416657,8.352621917,23.5
2017,8,Arusha,2,51.39928193,30.45,102.5447801,8.487871231,23.25
2017,9,Arusha,1,47.73295227,28.38,101.0838065,9.156853977,23.5625
2017,9,Arusha,2,47.9009521,30.30,105.5906975,8.1155564,24.5
2017,10,Arusha,1,50.27928305,28.88,100.5728,8.781588448,24.125
2017,10,Arusha,2,47.94561872,30.87,102.3957674,9.06555773,24.5
2017,11,Arusha,1,47.88461878,33.52,86.69163407,7.934165213,25.875
2017,11,Arusha,2,47.2302861,48.32,73.44785484,9.098289948,26
2017,12,Arusha,1,48.08895191,28.48,108.6894439,8.646905976,25.4375
2017,12,Arusha,2,51.73928159,29.45,104.357742,8.309073864,24.5
2017,13,Arusha,1,58.01960865,28.43,102.4773209,8.247754823,27
2017,13,Arusha,2,49.37295063,33.75,109.4059506,8.874840733,25.1875
2017,14,Arusha,1,47.05195295,39.47,100.3386324,9.116837628,22.8125
2017,14,Arusha,2,50.43894956,33.13,99.66031576,8.762649494,22.6875
2017,15,Arusha,1,57.62727571,27.57,111.3233304,8.30449827,26.5
2017,15,Arusha,2,61.60793839,24.77,108.7174826,7.782862204,25.8125
2017,16,Arusha,1,54.34161233,28.18,100.1410827,8.658963418,25.0625
2017,16,Arusha,2,53.11461355,30.55,87.5815845,7.99612207,27.25
2017,17,Arusha,1,62.68593731,23.20,98.36433441,7.217297151,24.6875
2017,17,Arusha,2,58.80627453,24.50,107.7440638,7.139998399,26.375
2017,18,Arusha,1,59.53194047,28.85,101.555466,7.546330015,23.5625
2017,18,Arusha,2,60.51693948,28.48,104.9451669,7.437924507,23.875
2017,19,Arusha,1,51.07494893,28.47,103.1718062,9.107216072,28.8125
2017,19,Arusha,2,41.09529224,29.15,104.9543338,10.18362719,28.875
2017,20,Arusha,1,47.78861888,28.75,100.1171826,7.795465509,25.375
2017,20,Arusha,2,51.9049481,31.48,95.0293806,8.052669294,22.25
2017,21,Arusha,1,51.79228154,29.63,105.4872986,8.596096096,23.875
2017,21,Arusha,2,51.41561525,30.58,102.2470453,9.126905563,24.5
2017,22,Arusha,1,53.35094665,27.20,106.8502309,7.985430092,24.0625
2017,22,Arusha,2,53.86094614,27.70,104.8544711,7.454568453,25.625
2017,23,Arusha,1,57.39760927,30.60,94.81047429,7.83342506,27.4375
2017,23,Arusha,2,61.12993887,24.72,103.1135831,7.724238971,27.25
2017,24,Arusha,1,45.04128829,38.22,103.0135283,9.068358536,22.25
2017,24,Arusha,2,43.10662356,34.95,103.8895762,9.373801567,23
2017,25,Arusha,1,52.41161426,23.28,105.2978027,8.9660892,26.75
2017,25,Arusha,2,51.004949,25.80,99.39875176,7.924397434,26.9375
2017,26,Arusha,1,52.88994711,35.53,108.3065482,8.390374101,23.75
2017,26,Arusha,2,52.06628127,27.07,104.5723724,8.75489133,25.1875
2017,27,Arusha,1,46.44228689,31.72,110.9641347,8.489644392,24.875
2017,27,Arusha,2,48.09195191,36.42,108.426904,9.123376623,25.8125
2017,28,Arusha,1,43.02329031,44.02,103.3237778,9.19589165,21.375
2017,28,Arusha,2,45.37995462,34.1,102.2329954,9.149317661,23.25
2017,29,Arusha,1,40.59229274,43.13,103.9629815,9.375180625,21.125
2017,29,Arusha,2,47.65895234,34.57,99.8992845,9.462915601,21.5625
2017,30,Arusha,1,51.69761497,29.60,99.01607423,8.832348154,22.75
2017,30,Arusha,2,52.28828105,29.95,98.05565295,8.422251276,23.5625
2017,31,Arusha,1,51.38328195,35.13,78.26143367,8.161494277,23.8125
2017,31,Arusha,2,49.42328391,39.73,74.84993593,8.424681754,22.1875
2017,32,Arusha,1,45.62995437,42.67,99.51055592,9.554140127,23.5
2017,32,Arusha,2,45.96328737,36.60,98.65835086,9.298449417,22.625
2017,33,Arusha,1,53.68061299,34.08,100.6246818,7.969937582,24.9375
2017,33,Arusha,2,50.93661573,30.52,100.268307,8.499244224,24.5625
2017,34,Arusha,1,52.81328052,26.90,102.9727342,8.182018997,24.9375
2017,34,Arusha,2,47.4332859,30.55,105.9803233,8.501218724,24.4375
2017,35,Arusha,1,52.31661435,24.00,97.78273335,9.482119009,23.875
2017,35,Arusha,2,49.47995052,23.03,101.1789275,8.682780257,23.8125
2017,36,Arusha,1,44.20995579,44.53,102.4278067,9.613123565,22.125
2017,36,Arusha,2,48.94661772,35.12,91.41923182,8.717948718,22.3125
2017,37,Arusha,1,56.26994373,27.62,97.84965346,7.568006496,26.75
2017,37,Arusha,2,56.84660982,24.65,100.0996834,8.164099768,24.75
2017,38,Arusha,1,48.38661828,33.63,104.1678148,10.04599371,27.25
2017,38,Arusha,2,54.08661258,35.73,100.4067546,9.05479153,26.625
2017,39,Arusha,1,45.2999547,36.85,99.27888153,8.869777619,23.9375
2017,39,Arusha,2,45.39662127,36.03,101.4244805,9.50650445,23.1875
2017,40,Arusha,1,56.42327691,31.13,97.3769717,7.794225541,24.25
2017,40,Arusha,2,51.47661519,34.40,92.76694943,7.843137255,24.125
2017,41,Arusha,1,45.25662141,35.98,101.6203874,10.00171262,21.9375
2017,41,Arusha,2,43.00662366,38.83,103.0770423,9.278848735,22.1875
2017,42,Arusha,1,47.93295207,31.27,103.6036412,8.002045846,23
2017,42,Arusha,2,46.38462028,30.90,104.3419521,8.481132075,24.25
2017,43,Arusha,1,47.47328586,32.17,101.3902542,8.877647176,23.75
2017,43,Arusha,2,45.0636216,33.67,102.3211604,9.283083026,21.625
