Line	CT_Ar16	CT_Mo16	CT_Ar17	CT_Mo17	WU_Ar16	WU_Mo16	WU_Ar17	WU_Mo17	SCP_Ar16	SCP_Mo16	SCP_Ar17	SCP_Mo17	SW_Ar16	SW_Mo16	SW_Ar17	SW_Mo17	Pro_Ar16	Pro_Mo16	Pro_Ar17	Pro_Mo17
2	34.3	62.9	29.3	35.4	108.8	113.9	104.0	94.8	8.8	9.2	8.6	10.8	40.9	39.3	48.6	39.0	23.8	25.1	22.9	23.3
3	64.3	71.9	35.0	58.5	94.4	97.7	102.5	93.8	10.7	10.3	9.6	12.5	35.3	37.5	44.7	32.4	22.3	22.9	21.7	19.2
4	46.2	NA	28.6	40.5	NA	NA	95.4	94.3	9.1	NA	8.3	10.3	40.2	NA	51.4	36.0	24.4	NA	23.7	22.3
5	39.5	70.6	30.9	40.3	109.7	117.8	109.0	91.9	8.6	9.7	8.6	10.2	42.4	37.1	53.6	38.9	21.1	26.8	26.2	26.5
6	42.6	NA	34.7	43.6	104.2	NA	79.3	101.9	NA	NA	8.9	11.7	43.4	NA	55.3	36.6	NA	NA	23.4	22.7
7	37.4	NA	34.4	47.1	106.0	NA	93.3	100.2	NA	NA	8.8	10.6	36.1	NA	50.3	36.9	22.8	NA	22.8	20.7
8	NA	NA	30.3	49.8	108.9	NA	103.1	95.2	NA	NA	8.4	11.3	36.8	NA	54.5	37.8	23.4	NA	23.4	22.1
9	48.5	59.3	29.3	42.7	119.1	111.1	103.3	87.6	NA	8.9	8.6	9.6	37.1	38.8	47.8	40.3	21.9	24.2	24.0	24.3
10	36.9	66.4	29.9	42.5	105.6	103.8	101.5	94.8	10.1	NA	8.9	11.5	40.3	39.8	49.1	41.3	21.6	25.6	24.3	23.0
11	47.9	67.6	40.9	43.0	95.4	98.4	80.1	99.7	NA	9.8	8.5	11.5	37.3	41.5	47.6	36.3	24.2	25.8	25.9	25.2
12	41.3	44.6	29.0	36.6	102.2	91.8	106.5	90.6	NA	NA	8.5	12.0	39.3	47.9	49.9	37.3	21.4	24.4	25.0	23.3
13	38.1	NA	31.1	43.9	99.7	NA	105.9	94.3	NA	NA	8.6	12.1	28.2	NA	53.7	36.9	22.4	NA	26.1	24.0
14	42.0	NA	36.3	51.0	101.8	NA	100.0	89.6	NA	NA	8.9	14.0	37.2	NA	48.7	36.4	22.2	NA	22.8	23.6
15	35.0	73.3	26.2	43.4	101.1	114.4	110.0	94.2	NA	NA	8.0	12.0	44.5	40.6	59.6	43.2	22.4	26.5	26.2	22.9
16	NA	42.7	29.4	39.1	NA	110.2	93.9	95.7	NA	9.0	8.3	10.7	NA	48.2	53.7	39.3	NA	25.3	26.2	23.7
17	36.0	NA	23.9	31.7	76.9	NA	103.1	97.3	NA	NA	7.2	11.1	50.1	NA	60.7	40.8	23.8	NA	25.5	22.1
