line	location	year	CT	WU	SCP	SW	Pro
2	Arusha	2016	34.3	108.8	8.8	40.9	23.8
3	Arusha	2016	64.3	94.4	10.7	35.3	22.3
4	Arusha	2016	46.2	NA	9.1	40.2	24.4
5	Arusha	2016	39.5	109.7	8.6	42.4	21.1
6	Arusha	2016	42.6	104.2	NA	43.4	NA
7	Arusha	2016	37.4	106.0	NA	36.1	22.8
8	Arusha	2016	NA	108.9	NA	36.8	23.4
9	Arusha	2016	48.5	119.1	NA	37.1	21.9
10	Arusha	2016	36.9	105.6	10.1	40.3	21.6
11	Arusha	2016	47.9	95.4	NA	37.3	24.2
12	Arusha	2016	41.3	102.2	NA	39.3	21.4
13	Arusha	2016	38.1	99.7	NA	28.2	22.4
14	Arusha	2016	42.0	101.8	NA	37.2	22.2
15	Arusha	2016	35.0	101.1	NA	44.5	22.4
16	Arusha	2016	NA	NA	NA	NA	NA
17	Arusha	2016	36.0	76.9	NA	50.1	23.8
18	Arusha	2016	34.7	105.1	8.2	42.5	22.9
19	Arusha	2016	41.4	101.8	9.2	39.3	24.4
20	Arusha	2016	45.4	107.8	NA	38.2	22.3
21	Arusha	2016	45.0	107.0	NA	35.3	21.4
22	Arusha	2016	45.0	104.7	8.3	42.5	24.6
23	Arusha	2016	55.9	78.3	8.5	47.4	24.1
24	Arusha	2016	42.2	106.8	NA	36.3	21.2
25	Arusha	2016	33.0	108.6	NA	34.1	21.7
26	Arusha	2016	NA	NA	NA	NA	NA
27	Arusha	2016	44.4	112.1	10.3	42.1	23.0
28	Arusha	2016	58.7	110.9	NA	35.6	20.5
29	Arusha	2016	51.0	99.4	NA	37.2	21.1
30	Arusha	2016	NA	NA	NA	NA	NA
31	Arusha	2016	54.5	103.4	8.4	38.6	21.0
32	Arusha	2016	45.5	102.0	10.5	34.7	22.9
33	Arusha	2016	51.1	105.7	NA	43.1	22.6
34	Arusha	2016	36.0	105.3	NA	39.0	22.5
35	Arusha	2016	30.1	101.2	10.1	34.9	21.4
36	Arusha	2016	45.9	99.5	NA	35.1	23.2
37	Arusha	2016	33.4	91.0	9.1	44.5	22.8
38	Arusha	2016	36.2	104.3	9.8	42.4	25.3
39	Arusha	2016	42.8	109.0	11.4	35.3	23.5
